Flight,Airline,Origin,Destination,Departure Time,Arrival Time,Distance,Weather,Delay
AI101,Air India,Delhi,Mumbai,06:30,08:40,1150,Sunny,0
6E202,IndiGo,Mumbai,Bengaluru,07:15,09:00,980,Cloudy,15
SG305,SpiceJet,Chennai,Delhi,08:00,10:45,1760,Rain,42
AK410,Akasa Air,Bengaluru,Goa,09:30,10:45,560,Sunny,0
IX512,Air India Express,Kochi,Hyderabad,10:15,11:55,1050,Fog,28
UK620,Vistara,Delhi,Kolkata,11:00,13:10,1300,Cloudy,8
AI721,Air India,Hyderabad,Mumbai,12:30,14:00,620,Rain,35
6E834,IndiGo,Pune,Delhi,13:15,15:00,1170,Sunny,0
SG945,SpiceJet,Kolkata,Chennai,14:00,16:40,1670,Cloudy,18
AK156,Akasa Air,Goa,Mumbai,15:30,16:35,435,Sunny,0
IX287,Air India Express,Ahmedabad,Bengaluru,16:15,18:20,1500,Rain,50
UK390,Vistara,Mumbai,Delhi,17:00,19:10,1150,Sunny,5
AI456,Air India,Chennai,Kochi,18:30,19:45,690,Cloudy,12
6E567,IndiGo,Delhi,Ahmedabad,19:15,20:45,950,Fog,30
SG678,SpiceJet,Bengaluru,Hyderabad,20:00,21:15,570,Rain,40
AK789,Akasa Air,Kolkata,Delhi,21:30,23:30,1300,Sunny,0
IX890,Air India Express,Mumbai,Goa,22:15,23:20,435,Cloudy,10
UK901,Vistara,Hyderabad,Chennai,05:45,07:00,630,Sunny,0
AI112,Air India,Delhi,Pune,06:45,08:45,1170,Rain,38
6E223,IndiGo,Goa,Kochi,07:30,08:45,520,Cloudy,20
SG334,SpiceJet,Delhi,Mumbai,08:45,10:55,1150,Fog,25
AK445,Akasa Air,Chennai,Bengaluru,09:15,10:20,350,Sunny,0
IX556,Air India Express,Mumbai,Hyderabad,10:45,12:15,620,Rain,55
UK667,Vistara,Pune,Kolkata,11:30,13:45,1500,Cloudy,14
AI778,Air India,Ahmedabad,Delhi,12:15,13:50,950,Sunny,0
6E889,IndiGo,Kochi,Mumbai,13:45,15:30,1200,Rain,48
SG990,SpiceJet,Hyderabad,Delhi,14:30,16:45,1250,Fog,32
AK111,Akasa Air,Bengaluru,Mumbai,15:15,16:55,980,Cloudy,17
IX222,Air India Express,Delhi,Goa,16:00,18:30,1500,Sunny,0
UK333,Vistara,Chennai,Delhi,17:45,20:20,1760,Rain,60
AI444,Air India,Kolkata,Mumbai,18:15,20:45,1650,Cloudy,22
6E555,IndiGo,Delhi,Bengaluru,19:30,21:40,1740,Sunny,0
SG666,SpiceJet,Mumbai,Chennai,20:15,22:20,1050,Rain,45
AK777,Akasa Air,Hyderabad,Goa,21:00,22:30,700,Cloudy,16
IX888,Air India Express,Pune,Mumbai,22:45,23:50,150,Fog,35
UK999,Vistara,Goa,Delhi,05:30,08:00,1500,Sunny,0
AI123,Air India,Bengaluru,Kolkata,06:15,08:50,1560,Cloudy,13
6E234,IndiGo,Ahmedabad,Chennai,07:00,09:10,1450,Rain,44
SG345,SpiceJet,Kochi,Delhi,08:30,11:30,2200,Sunny,0
AK456,Akasa Air,Delhi,Hyderabad,09:45,11:45,1250,Fog,27
IX567,Air India Express,Mumbai,Pune,10:30,11:25,150,Cloudy,9
UK678,Vistara,Chennai,Mumbai,11:15,13:15,1030,Rain,52
AI789,Air India,Delhi,Kochi,12:45,15:45,2200,Sunny,0
6E890,IndiGo,Mumbai,Kolkata,13:30,16:00,1650,Cloudy,19
SG901,SpiceJet,Hyderabad,Bengaluru,14:15,15:30,570,Rain,36
AK112,Akasa Air,Pune,Goa,15:45,16:50,450,Sunny,0
IX223,Air India Express,Delhi,Chennai,16:30,19:15,1760,Fog,29
