Flight,Airline,Origin,Destination,Departure Time,Arrival Time,Distance,Weather,Delay,Departure Hour,Delay_Status
AI101,0,3,8,06:30,08:40,1150,3,0,6,0
6E202,3,8,1,07:15,09:00,980,0,15,7,1
SG305,4,2,3,08:00,10:45,1760,2,42,8,1
AK410,2,1,4,09:30,10:45,560,3,0,9,0
IX512,1,6,5,10:15,11:55,1050,1,28,10,1
UK620,5,3,7,11:00,13:10,1300,0,8,11,1
AI721,0,5,8,12:30,14:00,620,2,35,12,1
6E834,3,9,3,13:15,15:00,1170,3,0,13,0
SG945,4,7,2,14:00,16:40,1670,0,18,14,1
AK156,2,4,8,15:30,16:35,435,3,0,15,0
IX287,1,0,1,16:15,18:20,1500,2,50,16,1
UK390,5,8,3,17:00,19:10,1150,3,5,17,1
AI456,0,2,6,18:30,19:45,690,0,12,18,1
6E567,3,3,0,19:15,20:45,950,1,30,19,1
SG678,4,1,5,20:00,21:15,570,2,40,20,1
AK789,2,7,3,21:30,23:30,1300,3,0,21,0
IX890,1,8,4,22:15,23:20,435,0,10,22,1
UK901,5,5,2,05:45,07:00,630,3,0,5,0
AI112,0,3,9,06:45,08:45,1170,2,38,6,1
6E223,3,4,6,07:30,08:45,520,0,20,7,1
SG334,4,3,8,08:45,10:55,1150,1,25,8,1
AK445,2,2,1,09:15,10:20,350,3,0,9,0
IX556,1,8,5,10:45,12:15,620,2,55,10,1
UK667,5,9,7,11:30,13:45,1500,0,14,11,1
AI778,0,0,3,12:15,13:50,950,3,0,12,0
6E889,3,6,8,13:45,15:30,1200,2,48,13,1
SG990,4,5,3,14:30,16:45,1250,1,32,14,1
AK111,2,1,8,15:15,16:55,980,0,17,15,1
IX222,1,3,4,16:00,18:30,1500,3,0,16,0
UK333,5,2,3,17:45,20:20,1760,2,60,17,1
AI444,0,7,8,18:15,20:45,1650,0,22,18,1
6E555,3,3,1,19:30,21:40,1740,3,0,19,0
SG666,4,8,2,20:15,22:20,1050,2,45,20,1
AK777,2,5,4,21:00,22:30,700,0,16,21,1
IX888,1,9,8,22:45,23:50,150,1,35,22,1
UK999,5,4,3,05:30,08:00,1500,3,0,5,0
AI123,0,1,7,06:15,08:50,1560,0,13,6,1
6E234,3,0,2,07:00,09:10,1450,2,44,7,1
SG345,4,6,3,08:30,11:30,2200,3,0,8,0
AK456,2,3,5,09:45,11:45,1250,1,27,9,1
IX567,1,8,9,10:30,11:25,150,0,9,10,1
UK678,5,2,8,11:15,13:15,1030,2,52,11,1
AI789,0,3,6,12:45,15:45,2200,3,0,12,0
6E890,3,8,7,13:30,16:00,1650,0,19,13,1
SG901,4,5,1,14:15,15:30,570,2,36,14,1
AK112,2,9,4,15:45,16:50,450,3,0,15,0
IX223,1,3,2,16:30,19:15,1760,1,29,16,1
UK334,5,8,0,17:15,18:30,450,0,11,17,1
AI445,0,7,3,18:00,20:00,1300,2,41,18,1
6E556,3,4,1,19:15,20:30,560,3,0,19,0
SG667,4,2,5,20:30,22:00,630,0,15,20,1
AK778,2,3,8,21:45,23:55,1150,2,47,21,1
IX889,1,1,6,05:15,06:20,360,3,0,5,0
UK990,5,5,9,06:30,08:00,560,1,31,6,1
AI234,0,8,4,07:45,08:55,435,0,12,7,1
6E345,3,3,7,08:15,10:15,1300,2,39,8,1
SG456,4,0,8,09:00,10:10,450,3,0,9,0
AK567,2,6,2,10:45,12:00,690,0,18,10,1
IX678,1,4,5,11:30,13:00,700,2,43,11,1
UK789,5,1,3,12:15,14:45,1740,1,33,12,1
AI890,0,9,2,13:00,15:00,1100,3,0,13,0
6E901,3,7,1,14:30,17:00,1560,0,21,14,1
SG212,4,3,9,15:15,17:15,1170,2,46,15,1
AK323,2,8,6,16:00,17:45,1200,3,0,16,0
IX434,1,2,4,17:30,19:00,850,1,26,17,1
UK545,5,0,3,18:15,19:45,950,0,10,18,1
AI656,0,5,7,19:00,21:20,1500,2,54,19,1
6E767,3,8,1,20:15,22:00,980,3,0,20,0
SG878,4,3,2,21:00,23:45,1760,0,17,21,1
AK989,2,7,4,22:30,00:45,1900,2,58,22,1
IX100,1,9,3,05:45,07:30,1170,3,0,5,0
UK211,5,2,7,06:30,09:00,1670,1,34,6,1
AI322,0,6,8,07:15,09:00,1200,0,16,7,1
6E433,3,4,3,08:45,11:15,1500,2,49,8,1
SG544,4,1,0,09:30,11:45,1450,3,0,9,0
AK655,2,5,8,10:15,11:45,620,0,14,10,1
IX766,1,3,1,11:00,13:30,1740,1,37,11,1
UK877,5,8,2,12:30,14:30,1050,2,51,12,1
AI988,0,7,9,13:15,15:40,1500,3,0,13,0
6E199,3,0,6,14:00,16:00,1200,0,13,14,1
SG288,4,3,4,15:30,18:00,1500,2,57,15,1
AK377,2,8,3,16:15,18:25,1150,3,0,16,0
IX488,1,2,9,17:00,19:00,1100,1,30,17,1
UK599,5,5,3,18:45,21:00,1250,0,15,18,1
AI600,0,1,2,19:30,20:35,350,2,40,19,1
6E711,3,6,7,20:15,23:00,2000,3,0,20,0
SG822,4,8,5,21:30,23:00,620,0,18,21,1
AK933,2,3,0,22:00,23:30,950,2,45,22,1
IX144,1,4,8,05:30,06:35,435,3,0,5,0
UK255,5,9,1,06:15,07:45,850,1,29,6,1
AI366,0,3,8,07:00,09:10,1150,0,14,7,1
6E477,3,8,2,08:30,10:30,1030,2,38,8,1
SG588,4,1,3,09:15,11:45,1740,3,0,9,0
AK699,2,5,4,10:00,11:30,700,0,12,10,1
IX700,1,7,8,11:30,14:00,1650,1,35,11,1
UK811,5,3,6,12:15,15:15,2200,2,55,12,1
AI922,0,9,5,13:00,14:30,560,3,0,13,0
6E133,3,2,3,14:15,17:00,1760,0,20,14,1
SG244,4,8,0,15:00,16:15,450,2,32,15,1
AK355,2,4,1,16:45,18:00,560,3,0,16,0
IX466,1,6,3,17:30,20:30,2200,1,42,17,1
UK577,5,0,8,18:15,19:25,450,0,11,18,1
AI688,0,1,9,19:00,20:45,850,2,37,19,1
6E799,3,5,2,20:30,21:45,630,3,0,20,0
SG800,4,7,3,21:15,23:15,1300,0,18,21,1
AK911,2,8,4,22:45,23:50,435,2,44,22,1
IX122,1,3,9,06:00,08:00,1170,3,0,6,0
UK233,5,2,6,07:30,08:45,690,1,26,7,1
AI344,0,8,1,08:15,10:00,980,0,13,8,1
6E455,3,3,0,09:45,11:15,950,2,41,9,1
SG566,4,4,2,10:30,12:15,850,3,0,10,0
AK677,2,9,8,11:15,12:10,150,0,9,11,1
IX788,1,1,5,12:45,14:00,570,2,36,12,1
UK899,5,6,1,13:30,14:40,360,3,0,13,0
AI911,0,3,7,14:15,16:15,1300,1,33,14,1
6E122,3,8,3,15:00,17:10,1150,0,15,15,1
SG233,4,2,8,16:30,18:30,1030,2,48,16,1
AK344,2,0,4,17:15,18:45,900,3,0,17,0
IX455,1,5,6,18:00,19:45,1050,0,16,18,1
UK566,5,1,7,19:30,22:00,1560,2,53,19,1
AI677,0,9,3,20:15,22:00,1170,3,0,20,0
6E788,3,4,8,21:00,22:05,435,1,28,21,1
SG899,4,3,5,22:30,00:30,1250,0,17,22,1
AK900,2,2,1,05:45,06:50,350,2,39,5,1
IX111,1,8,6,06:30,08:15,1200,3,0,6,0
UK222,5,3,4,07:15,09:45,1500,0,14,7,1
AI333,0,7,2,08:00,10:40,1670,2,47,8,1
6E444,3,0,3,09:30,11:00,950,3,0,9,0
SG555,4,6,8,10:15,12:00,1200,1,31,10,1
AK666,2,5,1,11:45,13:00,570,0,12,11,1
IX777,1,9,7,12:30,14:45,1500,2,45,12,1
UK888,5,8,5,13:15,14:45,620,3,0,13,0
AI999,0,2,4,14:00,15:30,850,0,19,14,1
6E100,3,1,8,15:45,17:30,980,2,50,15,1
SG211,4,3,6,16:30,19:30,2200,1,34,16,1
AK322,2,8,9,17:15,18:10,150,3,0,17,0
IX433,1,4,5,18:00,19:30,700,0,15,18,1
UK544,5,0,1,19:15,21:30,1450,2,52,19,1
AI655,0,7,8,20:00,22:30,1650,3,0,20,0
6E766,3,2,5,21:15,22:45,630,1,29,21,1
SG877,4,9,4,22:00,23:00,450,0,10,22,1
AK988,2,3,2,05:30,08:15,1760,2,56,5,1
IX199,1,8,7,06:45,09:15,1650,3,0,6,0
UK300,5,1,4,07:30,08:45,560,0,13,7,1
AI411,0,5,3,08:15,10:30,1250,2,43,8,1
6E522,3,6,9,09:00,10:45,1200,3,0,9,0
SG633,4,3,1,10:30,13:00,1740,1,36,10,1
AK744,2,2,8,11:15,13:15,1030,0,17,11,1
IX855,1,4,7,12:00,14:30,1900,2,60,12,1
UK966,5,8,0,13:45,15:00,450,3,0,13,0
AI177,0,9,2,14:30,16:30,1100,0,14,14,1
6E288,3,3,8,15:15,17:25,1150,2,46,15,1
SG399,4,5,4,16:00,17:30,700,3,0,16,0
AK400,2,7,3,17:45,19:45,1300,1,32,17,1
